Date,Seller_Name,Product_Type,Quantity,Price_Per_Unit,Total_Amount,Daily_Total,Daily_Items_Sold
2023-01-05,Coronation_bakery,BUN,37,20,733,14989,561
2023-01-05,Coronation_bakery,CAKE,130,36,4601,14989,561
2023-01-05,Coronation_bakery,FRESH CREAM CAKE,3,40,120,14989,561
2023-01-05,Tea_Bench,ICE TEA,5,20,100,14989,561
2023-01-05,Shanmuga_Nadar,KAARAM,30,49,1460,14989,561
2023-01-05,Coronation_bakery,MACAROON,2,130,260,14989,561
2023-01-05,Nomadic_Bites,PUFFS,100,16,1557,14989,561
2023-01-05,Coronation_bakery,RUSK & BREAD,14,70,970,14989,561
2023-01-05,Coronation_bakery,SWEETS,12,19,225,14989,561
2023-01-05,Tea_Bench,TEA AND COFFEE,207,18,3666,14989,561
2023-01-06,Coronation_bakery,BISCUIT,8,84,670,17337,678
2023-01-06,Coronation_bakery,BROWNIE,12,52,618,17337,678
2023-01-06,Coronation_bakery,BUN,62,19,1170,17337,678
2023-01-06,Coronation_bakery,CAKE,151,35,5201,17337,678
2023-01-06,Coronation_bakery,FRESH CREAM CAKE,3,41,122,17337,678
2023-01-06,Tea_Bench,ICE TEA,15,20,300,17337,678
2023-01-06,Shanmuga_Nadar,KAARAM,27,49,1305,17337,678
2023-01-06,Coronation_bakery,MACAROON,2,98,195,17337,678
2023-01-06,Nomadic_Bites,PUFFS,97,16,1512,17337,678
2023-01-06,Coronation_bakery,RUSK & BREAD,22,67,1466,17337,678
2023-01-06,Coronation_bakery,SWEETS,16,15,240,17337,678
2023-01-06,Tea_Bench,TEA AND COFFEE,263,18,4538,17337,678
2023-01-07,Coronation_bakery,BISCUIT,10,72,715,18645,759
2023-01-07,Coronation_bakery,BROWNIE,13,47,602,18645,759
2023-01-07,Coronation_bakery,BUN,63,19,1176,18645,759
2023-01-07,Coronation_bakery,CAKE,177,31,5469,18645,759
2023-01-07,Coronation_bakery,FRESH CREAM CAKE,3,43,127,18645,759
2023-01-07,Tea_Bench,ICE TEA,5,20,100,18645,759
2023-01-07,Shanmuga_Nadar,KAARAM,17,59,995,18645,759
2023-01-07,Coronation_bakery,MACAROON,9,87,780,18645,759
2023-01-07,Tea_Bench,MILKSHAKE,1,100,100,18645,759
2023-01-07,Nomadic_Bites,PUFFS,82,15,1230,18645,759
2023-01-07,Coronation_bakery,RUSK & BREAD,20,65,1289,18645,759
2023-01-07,Coronation_bakery,SWEETS,27,17,450,18645,759
2023-01-07,Tea_Bench,TEA AND COFFEE,332,17,5612,18645,759
2023-01-08,Coronation_bakery,BISCUIT,6,59,350,14135,497
2023-01-08,Coronation_bakery,BROWNIE,12,56,672,14135,497
2023-01-08,Coronation_bakery,BUN,32,19,584,14135,497
2023-01-08,Coronation_bakery,CAKE,161,34,5452,14135,497
2023-01-08,Coronation_bakery,FRESH CREAM CAKE,6,41,246,14135,497
2023-01-08,Tea_Bench,ICE TEA,7,26,180,14135,497
2023-01-08,Shanmuga_Nadar,KAARAM,22,57,1250,14135,497
2023-01-08,Coronation_bakery,MACAROON,4,65,260,14135,497
2023-01-08,Tea_Bench,MILKSHAKE,1,100,100,14135,497
2023-01-08,Nomadic_Bites,PUFFS,45,15,675,14135,497
2023-01-08,Coronation_bakery,RUSK & BREAD,14,72,997,14135,497
2023-01-08,Coronation_bakery,SWEETS,16,16,255,14135,497
2023-01-08,Tea_Bench,TEA AND COFFEE,171,19,3114,14135,497
2023-01-09,Coronation_bakery,BISCUIT,6,59,350,14159,634
2023-01-09,Coronation_bakery,BROWNIE,9,47,423,14159,634
2023-01-09,Coronation_bakery,BUN,16,20,313,14159,634
2023-01-09,Coronation_bakery,CAKE,77,39,2953,14159,634
2023-01-09,Coronation_bakery,FRESH CREAM CAKE,13,42,544,14159,634
2023-01-09,Tea_Bench,ICE TEA,2,20,40,14159,634
2023-01-09,Shanmuga_Nadar,KAARAM,26,37,955,14159,634
2023-01-09,Coronation_bakery,MACAROON,3,109,325,14159,634
2023-01-09,Nomadic_Bites,PUFFS,124,16,1968,14159,634
2023-01-09,Coronation_bakery,RUSK & BREAD,10,63,623,14159,634
2023-01-09,Coronation_bakery,SWEETS,1,30,30,14159,634
2023-01-09,Tea_Bench,TEA AND COFFEE,347,17,5635,14159,634
2023-01-10,Coronation_bakery,BISCUIT,8,69,550,17759,723
2023-01-10,Coronation_bakery,BROWNIE,21,49,1014,17759,723
2023-01-10,Coronation_bakery,BUN,39,18,696,17759,723
2023-01-10,Coronation_bakery,CAKE,147,37,5307,17759,723
2023-01-10,Coronation_bakery,FRESH CREAM CAKE,6,41,245,17759,723
2023-01-10,Tea_Bench,ICE TEA,3,20,60,17759,723
2023-01-10,Shanmuga_Nadar,KAARAM,22,60,1310,17759,723
2023-01-10,Coronation_bakery,MACAROON,4,65,260,17759,723
2023-01-10,Nomadic_Bites,PUFFS,107,16,1656,17759,723
2023-01-10,Coronation_bakery,RUSK & BREAD,19,61,1142,17759,723
2023-01-10,Coronation_bakery,SWEETS,2,15,30,17759,723
2023-01-10,Tea_Bench,TEA AND COFFEE,345,16,5489,17759,723
2023-01-11,Coronation_bakery,BISCUIT,5,60,300,15974,683
2023-01-11,Coronation_bakery,BROWNIE,18,47,846,15974,683
2023-01-11,Coronation_bakery,BUN,42,18,749,15974,683
2023-01-11,Coronation_bakery,CAKE,163,34,5488,15974,683
2023-01-11,Coronation_bakery,FRESH CREAM CAKE,10,43,425,15974,683
2023-01-11,Tea_Bench,ICE TEA,4,20,80,15974,683
2023-01-11,Shanmuga_Nadar,KAARAM,8,34,265,15974,683
2023-01-11,Coronation_bakery,MACAROON,4,65,260,15974,683
2023-01-11,Nomadic_Bites,PUFFS,107,16,1653,15974,683
2023-01-11,Coronation_bakery,RUSK & BREAD,9,55,490,15974,683
2023-01-11,Coronation_bakery,SWEETS,12,18,210,15974,683
2023-01-11,Tea_Bench,TEA AND COFFEE,301,18,5208,15974,683
2023-01-12,Coronation_bakery,BISCUIT,10,75,750,18164,742
2023-01-12,Coronation_bakery,BROWNIE,12,59,699,18164,742
2023-01-12,Coronation_bakery,BUN,54,20,1045,18164,742
2023-01-12,Coronation_bakery,CAKE,119,35,4152,18164,742
2023-01-12,Coronation_bakery,FRESH CREAM CAKE,5,41,205,18164,742
2023-01-12,Tea_Bench,ICE TEA,5,24,120,18164,742
2023-01-12,Shanmuga_Nadar,KAARAM,17,55,930,18164,742
2023-01-12,Coronation_bakery,MACAROON,12,87,1040,18164,742
2023-01-12,Nomadic_Bites,PUFFS,135,16,2088,18164,742
2023-01-12,Coronation_bakery,RUSK & BREAD,21,66,1375,18164,742
2023-01-12,Coronation_bakery,SWEETS,8,21,165,18164,742
2023-01-12,Tea_Bench,TEA AND COFFEE,344,17,5595,18164,742
2023-01-13,Coronation_bakery,BISCUIT,11,65,710,16491,693
2023-01-13,Coronation_bakery,BROWNIE,19,63,1181,16491,693
2023-01-13,Coronation_bakery,BUN,41,19,743,16491,693
2023-01-13,Coronation_bakery,CAKE,138,32,4309,16491,693
2023-01-13,Coronation_bakery,FRESH CREAM CAKE,11,43,466,16491,693
2023-01-13,Tea_Bench,ICE TEA,4,20,80,16491,693
2023-01-13,Shanmuga_Nadar,KAARAM,17,48,805,16491,693
2023-01-13,Nomadic_Bites,PUFFS,107,16,1653,16491,693
2023-01-13,Coronation_bakery,RUSK & BREAD,12,64,759,16491,693
2023-01-13,Coronation_bakery,SWEETS,14,18,240,16491,693
2023-01-13,Tea_Bench,TEA AND COFFEE,319,18,5545,16491,693
2023-01-14,Coronation_bakery,BISCUIT,13,71,915,15967,564
2023-01-14,Coronation_bakery,BROWNIE,12,56,672,15967,564
2023-01-14,Coronation_bakery,BUN,51,19,964,15967,564
2023-01-14,Coronation_bakery,CAKE,163,30,4736,15967,564
2023-01-14,Coronation_bakery,FRESH CREAM CAKE,12,44,525,15967,564
2023-01-14,Tea_Bench,ICE TEA,7,26,180,15967,564
2023-01-14,Shanmuga_Nadar,KAARAM,34,57,1935,15967,564
2023-01-14,Coronation_bakery,MACAROON,9,87,780,15967,564
2023-01-14,Coronation_bakery,RUSK & BREAD,16,63,1003,15967,564
2023-01-14,Coronation_bakery,SWEETS,7,20,135,15967,564
2023-01-14,Tea_Bench,TEA AND COFFEE,240,18,4122,15967,564
2023-01-18,Coronation_bakery,BISCUIT,1,50,50,14554,640
2023-01-18,Coronation_bakery,BROWNIE,4,65,260,14554,640
2023-01-18,Coronation_bakery,BUN,29,19,545,14554,640
2023-01-18,Coronation_bakery,CAKE,76,39,2909,14554,640
2023-01-18,Coronation_bakery,FRESH CREAM CAKE,1,40,40,14554,640
2023-01-18,Tea_Bench,ICE TEA,1,40,40,14554,640
2023-01-18,Shanmuga_Nadar,KAARAM,21,50,1030,14554,640
2023-01-18,Coronation_bakery,MACAROON,3,109,325,14554,640
2023-01-18,Tea_Bench,MILKSHAKE,1,100,100,14554,640
2023-01-18,Nomadic_Bites,PUFFS,126,16,1947,14554,640
2023-01-18,Coronation_bakery,RUSK & BREAD,15,64,956,14554,640
2023-01-18,Coronation_bakery,SWEETS,20,17,330,14554,640
2023-01-18,Tea_Bench,TEA AND COFFEE,342,18,6022,14554,640
2023-01-19,Coronation_bakery,BISCUIT,10,66,660,19264,725
2023-01-19,Coronation_bakery,BROWNIE,7,50,347,19264,725
2023-01-19,Coronation_bakery,BUN,51,19,936,19264,725
2023-01-19,Coronation_bakery,CAKE,145,35,4971,19264,725
2023-01-19,Coronation_bakery,FRESH CREAM CAKE,23,42,961,19264,725
2023-01-19,Tea_Bench,ICE TEA,10,30,300,19264,725
2023-01-19,Shanmuga_Nadar,KAARAM,30,53,1570,19264,725
2023-01-19,Coronation_bakery,MACAROON,7,93,650,19264,725
2023-01-19,Nomadic_Bites,PUFFS,102,16,1572,19264,725
2023-01-19,Coronation_bakery,RUSK & BREAD,25,65,1607,19264,725
2023-01-19,Coronation_bakery,SWEETS,28,17,450,19264,725
2023-01-19,Tea_Bench,TEA AND COFFEE,287,19,5240,19264,725
2023-01-20,Coronation_bakery,BISCUIT,8,70,560,15920,635
2023-01-20,Coronation_bakery,BROWNIE,23,55,1252,15920,635
2023-01-20,Coronation_bakery,BUN,53,19,997,15920,635
2023-01-20,Coronation_bakery,CAKE,99,27,2624,15920,635
2023-01-20,Coronation_bakery,FRESH CREAM CAKE,3,41,122,15920,635
2023-01-20,Tea_Bench,ICE TEA,8,33,260,15920,635
2023-01-20,Shanmuga_Nadar,KAARAM,35,57,1970,15920,635
2023-01-20,Coronation_bakery,MACAROON,1,65,65,15920,635
2023-01-20,Nomadic_Bites,PUFFS,105,16,1623,15920,635
2023-01-20,Coronation_bakery,RUSK & BREAD,18,82,1470,15920,635
2023-01-20,Coronation_bakery,SWEETS,2,23,45,15920,635
2023-01-20,Tea_Bench,TEA AND COFFEE,280,18,4932,15920,635
2023-01-21,Coronation_bakery,BISCUIT,9,62,550,17744,692
2023-01-21,Coronation_bakery,BROWNIE,9,47,423,17744,692
2023-01-21,Coronation_bakery,BUN,23,19,418,17744,692
2023-01-21,Coronation_bakery,CAKE,163,32,5158,17744,692
2023-01-21,Coronation_bakery,FRESH CREAM CAKE,11,42,452,17744,692
2023-01-21,Tea_Bench,ICE TEA,6,30,180,17744,692
2023-01-21,Shanmuga_Nadar,KAARAM,23,54,1225,17744,692
2023-01-21,Coronation_bakery,MACAROON,7,93,650,17744,692
2023-01-21,Tea_Bench,MILKSHAKE,2,100,200,17744,692
2023-01-21,Nomadic_Bites,PUFFS,102,16,1587,17744,692
2023-01-21,Coronation_bakery,RUSK & BREAD,21,60,1254,17744,692
2023-01-21,Coronation_bakery,SWEETS,23,17,375,17744,692
2023-01-21,Tea_Bench,TEA AND COFFEE,293,18,5272,17744,692
2023-01-22,Coronation_bakery,BISCUIT,4,75,300,13071,461
2023-01-22,Coronation_bakery,BROWNIE,16,62,986,13071,461
2023-01-22,Coronation_bakery,BUN,39,20,745,13071,461
2023-01-22,Coronation_bakery,CAKE,114,30,3338,13071,461
2023-01-22,Coronation_bakery,FRESH CREAM CAKE,15,43,637,13071,461
2023-01-22,Tea_Bench,ICE TEA,15,31,460,13071,461
2023-01-22,Shanmuga_Nadar,KAARAM,17,53,890,13071,461
2023-01-22,Coronation_bakery,MACAROON,5,104,520,13071,461
2023-01-22,Nomadic_Bites,PUFFS,46,15,690,13071,461
2023-01-22,Coronation_bakery,RUSK & BREAD,17,77,1293,13071,461
2023-01-22,Coronation_bakery,SWEETS,5,15,75,13071,461
2023-01-22,Tea_Bench,TEA AND COFFEE,168,19,3137,13071,461
2023-01-23,Coronation_bakery,BISCUIT,8,75,600,14007,569
2023-01-23,Coronation_bakery,BROWNIE,7,50,347,14007,569
2023-01-23,Coronation_bakery,BUN,45,20,872,14007,569
2023-01-23,Coronation_bakery,CAKE,93,34,3122,14007,569
2023-01-23,Coronation_bakery,FRESH CREAM CAKE,11,42,460,14007,569
2023-01-23,Tea_Bench,ICE TEA,7,30,210,14007,569
2023-01-23,Shanmuga_Nadar,KAARAM,14,44,605,14007,569
2023-01-23,Coronation_bakery,MACAROON,4,82,325,14007,569
2023-01-23,Nomadic_Bites,PUFFS,117,16,1866,14007,569
2023-01-23,Coronation_bakery,RUSK & BREAD,20,68,1342,14007,569
2023-01-23,Coronation_bakery,SWEETS,4,19,75,14007,569
2023-01-23,Tea_Bench,TEA AND COFFEE,239,18,4183,14007,569
2023-01-24,Coronation_bakery,BISCUIT,3,52,155,15486,640
2023-01-24,Coronation_bakery,BROWNIE,16,47,743,15486,640
2023-01-24,Coronation_bakery,BUN,45,19,816,15486,640
2023-01-24,Coronation_bakery,CAKE,128,32,4068,15486,640
2023-01-24,Coronation_bakery,FRESH CREAM CAKE,8,41,325,15486,640
2023-01-24,Tea_Bench,ICE TEA,8,30,240,15486,640
2023-01-24,Shanmuga_Nadar,KAARAM,20,49,970,15486,640
2023-01-24,Coronation_bakery,MACAROON,7,93,650,15486,640
2023-01-24,Nomadic_Bites,PUFFS,107,16,1656,15486,640
2023-01-24,Coronation_bakery,RUSK & BREAD,13,61,783,15486,640
2023-01-24,Coronation_bakery,SWEETS,2,15,30,15486,640
2023-01-24,Tea_Bench,TEA AND COFFEE,283,18,5050,15486,640
2023-01-25,Coronation_bakery,BISCUIT,13,67,865,17607,714
2023-01-25,Coronation_bakery,BROWNIE,4,59,233,17607,714
2023-01-25,Coronation_bakery,BUN,58,19,1069,17607,714
2023-01-25,Coronation_bakery,CAKE,143,32,4543,17607,714
2023-01-25,Coronation_bakery,FRESH CREAM CAKE,11,43,466,17607,714
2023-01-25,Tea_Bench,ICE TEA,13,31,400,17607,714
2023-01-25,Shanmuga_Nadar,KAARAM,18,44,780,17607,714
2023-01-25,Coronation_bakery,MACAROON,5,91,455,17607,714
2023-01-25,Nomadic_Bites,PUFFS,132,16,2037,17607,714
2023-01-25,Coronation_bakery,RUSK & BREAD,18,69,1229,17607,714
2023-01-25,Coronation_bakery,SWEETS,22,20,435,17607,714
2023-01-25,Tea_Bench,TEA AND COFFEE,277,19,5095,17607,714
2023-01-26,Coronation_bakery,BISCUIT,11,74,810,13821,478
2023-01-26,Coronation_bakery,BROWNIE,11,53,580,13821,478
2023-01-26,Coronation_bakery,BUN,26,20,499,13821,478
2023-01-26,Coronation_bakery,CAKE,96,49,4625,13821,478
2023-01-26,Coronation_bakery,FRESH CREAM CAKE,4,41,162,13821,478
2023-01-26,Tea_Bench,ICE TEA,9,32,280,13821,478
2023-01-26,Shanmuga_Nadar,KAARAM,9,37,325,13821,478
2023-01-26,Coronation_bakery,MACAROON,4,82,325,13821,478
2023-01-26,Nomadic_Bites,PUFFS,54,15,810,13821,478
2023-01-26,Coronation_bakery,RUSK & BREAD,15,64,959,13821,478
2023-01-26,Coronation_bakery,SWEETS,14,15,210,13821,478
2023-01-26,Tea_Bench,TEA AND COFFEE,225,19,4236,13821,478
2023-01-27,Coronation_bakery,BISCUIT,7,66,460,15918,705
2023-01-27,Coronation_bakery,BROWNIE,21,49,1014,15918,705
2023-01-27,Coronation_bakery,BUN,46,18,822,15918,705
2023-01-27,Coronation_bakery,CAKE,149,23,3330,15918,705
2023-01-27,Coronation_bakery,FRESH CREAM CAKE,15,43,633,15918,705
2023-01-27,Tea_Bench,ICE TEA,12,31,370,15918,705
2023-01-27,Shanmuga_Nadar,KAARAM,13,46,595,15918,705
2023-01-27,Coronation_bakery,MACAROON,3,87,260,15918,705
2023-01-27,Nomadic_Bites,PUFFS,112,16,1740,15918,705
2023-01-27,Coronation_bakery,RUSK & BREAD,21,56,1176,15918,705
2023-01-27,Coronation_bakery,SWEETS,27,18,465,15918,705
2023-01-27,Tea_Bench,TEA AND COFFEE,279,19,5053,15918,705
2023-01-28,Coronation_bakery,BISCUIT,10,52,520,15506,632
2023-01-28,Coronation_bakery,BROWNIE,6,65,390,15506,632
2023-01-28,Coronation_bakery,BUN,54,19,996,15506,632
2023-01-28,Coronation_bakery,CAKE,170,26,4328,15506,632
2023-01-28,Coronation_bakery,FRESH CREAM CAKE,8,44,347,15506,632
2023-01-28,Tea_Bench,ICE TEA,12,30,360,15506,632
2023-01-28,Shanmuga_Nadar,KAARAM,16,54,860,15506,632
2023-01-28,Coronation_bakery,MACAROON,5,78,390,15506,632
2023-01-28,Nomadic_Bites,PUFFS,85,15,1275,15506,632
2023-01-28,Coronation_bakery,RUSK & BREAD,21,69,1434,15506,632
2023-01-28,Coronation_bakery,SWEETS,15,21,315,15506,632
2023-01-28,Tea_Bench,TEA AND COFFEE,230,19,4291,15506,632
2023-01-29,Coronation_bakery,BISCUIT,10,67,670,15668,490
2023-01-29,Coronation_bakery,BROWNIE,15,58,867,15668,490
2023-01-29,Coronation_bakery,BUN,44,19,831,15668,490
2023-01-29,Coronation_bakery,CAKE,172,37,6311,15668,490
2023-01-29,Coronation_bakery,FRESH CREAM CAKE,4,41,164,15668,490
2023-01-29,Tea_Bench,ICE TEA,8,33,260,15668,490
2023-01-29,Shanmuga_Nadar,KAARAM,24,57,1365,15668,490
2023-01-29,Coronation_bakery,MACAROON,7,75,520,15668,490
2023-01-29,Nomadic_Bites,PUFFS,44,15,660,15668,490
2023-01-29,Coronation_bakery,RUSK & BREAD,16,74,1177,15668,490
2023-01-29,Coronation_bakery,SWEETS,19,17,315,15668,490
2023-01-29,Tea_Bench,TEA AND COFFEE,127,20,2528,15668,490
2023-01-30,Coronation_bakery,BISCUIT,10,75,750,14669,634
2023-01-30,Coronation_bakery,BROWNIE,10,49,488,14669,634
2023-01-30,Coronation_bakery,BUN,35,20,672,14669,634
2023-01-30,Coronation_bakery,CAKE,145,27,3778,14669,634
2023-01-30,Coronation_bakery,FRESH CREAM CAKE,8,41,324,14669,634
2023-01-30,Tea_Bench,ICE TEA,6,35,210,14669,634
2023-01-30,Shanmuga_Nadar,KAARAM,24,43,1015,14669,634
2023-01-30,Coronation_bakery,MACAROON,3,109,325,14669,634
2023-01-30,Nomadic_Bites,PUFFS,125,16,1986,14669,634
2023-01-30,Coronation_bakery,RUSK & BREAD,8,48,377,14669,634
2023-01-30,Tea_Bench,TEA AND COFFEE,260,19,4744,14669,634
2023-01-31,Coronation_bakery,BISCUIT,5,70,350,15420,596
2023-01-31,Coronation_bakery,BROWNIE,13,57,737,15420,596
2023-01-31,Coronation_bakery,BUN,31,18,557,15420,596
2023-01-31,Coronation_bakery,CAKE,49,64,3121,15420,596
2023-01-31,Coronation_bakery,FRESH CREAM CAKE,13,41,531,15420,596
2023-01-31,Tea_Bench,ICE TEA,14,32,440,15420,596
2023-01-31,Shanmuga_Nadar,KAARAM,19,43,805,15420,596
2023-01-31,Coronation_bakery,MACAROON,4,82,325,15420,596
2023-01-31,Nomadic_Bites,PUFFS,95,16,1470,15420,596
2023-01-31,Coronation_bakery,RUSK & BREAD,11,54,592,15420,596
2023-01-31,Coronation_bakery,SWEETS,5,24,120,15420,596
2023-01-31,Tea_Bench,TEA AND COFFEE,337,19,6372,15420,596
2023-02-01,Coronation_bakery,BISCUIT,7,66,460,20820,982
2023-02-01,Coronation_bakery,BROWNIE,8,59,466,20820,982
2023-02-01,Coronation_bakery,BUN,54,19,1003,20820,982
2023-02-01,Coronation_bakery,CAKE,214,24,4987,20820,982
2023-02-01,Coronation_bakery,FRESH CREAM CAKE,4,42,168,20820,982
2023-02-01,Tea_Bench,ICE TEA,6,30,180,20820,982
2023-02-01,Shanmuga_Nadar,KAARAM,25,51,1270,20820,982
2023-02-01,Coronation_bakery,MACAROON,3,87,260,20820,982
2023-02-01,Tea_Bench,MILKSHAKE,1,100,100,20820,982
2023-02-01,Nomadic_Bites,PUFFS,199,16,3045,20820,982
2023-02-01,Coronation_bakery,RUSK & BREAD,16,68,1078,20820,982
2023-02-01,Coronation_bakery,SWEETS,24,16,375,20820,982
2023-02-01,Tea_Bench,TEA AND COFFEE,421,18,7428,20820,982
2023-02-02,Coronation_bakery,BISCUIT,7,66,460,15063,657
2023-02-02,Coronation_bakery,BROWNIE,6,56,336,15063,657
2023-02-02,Coronation_bakery,BUN,27,18,477,15063,657
2023-02-02,Coronation_bakery,CAKE,152,27,4103,15063,657
2023-02-02,Coronation_bakery,FRESH CREAM CAKE,6,42,251,15063,657
2023-02-02,Tea_Bench,ICE TEA,3,34,100,15063,657
2023-02-02,Shanmuga_Nadar,KAARAM,13,64,820,15063,657
2023-02-02,Coronation_bakery,MACAROON,1,65,65,15063,657
2023-02-02,Nomadic_Bites,PUFFS,137,16,2115,15063,657
2023-02-02,Coronation_bakery,RUSK & BREAD,11,69,758,15063,657
2023-02-02,Coronation_bakery,SWEETS,13,17,210,15063,657
2023-02-02,Tea_Bench,TEA AND COFFEE,281,20,5368,15063,657
2023-02-03,Coronation_bakery,BISCUIT,10,66,655,20236,737
2023-02-03,Coronation_bakery,BROWNIE,31,51,1556,20236,737
2023-02-03,Coronation_bakery,BUN,64,19,1210,20236,737
2023-02-03,Coronation_bakery,CAKE,143,38,5299,20236,737
2023-02-03,Coronation_bakery,FRESH CREAM CAKE,6,45,267,20236,737
2023-02-03,Tea_Bench,ICE TEA,1,30,30,20236,737
2023-02-03,Shanmuga_Nadar,KAARAM,29,57,1625,20236,737
2023-02-03,Coronation_bakery,MACAROON,7,84,585,20236,737
2023-02-03,Nomadic_Bites,PUFFS,114,16,1764,20236,737
2023-02-03,Coronation_bakery,RUSK & BREAD,22,65,1420,20236,737
2023-02-03,Coronation_bakery,SWEETS,23,18,405,20236,737
2023-02-03,Tea_Bench,TEA AND COFFEE,287,19,5420,20236,737
2023-02-04,Coronation_bakery,BISCUIT,8,67,535,14300,543
2023-02-04,Coronation_bakery,BROWNIE,6,61,363,14300,543
2023-02-04,Coronation_bakery,BUN,34,19,624,14300,543
2023-02-04,Coronation_bakery,CAKE,142,31,4322,14300,543
2023-02-04,Coronation_bakery,FRESH CREAM CAKE,6,41,245,14300,543
2023-02-04,Tea_Bench,ICE TEA,7,30,210,14300,543
2023-02-04,Shanmuga_Nadar,KAARAM,19,62,1165,14300,543
2023-02-04,Coronation_bakery,MACAROON,2,65,130,14300,543
2023-02-04,Nomadic_Bites,PUFFS,65,16,1035,14300,543
2023-02-04,Coronation_bakery,RUSK & BREAD,22,64,1400,14300,543
2023-02-04,Coronation_bakery,SWEETS,12,17,195,14300,543
2023-02-04,Tea_Bench,TEA AND COFFEE,220,19,4076,14300,543
2023-02-05,Coronation_bakery,BISCUIT,10,85,850,12714,404
2023-02-05,Coronation_bakery,BROWNIE,14,52,721,12714,404
2023-02-05,Coronation_bakery,BUN,42,20,805,12714,404
2023-02-05,Coronation_bakery,CAKE,107,34,3553,12714,404
2023-02-05,Coronation_bakery,FRESH CREAM CAKE,1,45,45,12714,404
2023-02-05,Tea_Bench,ICE TEA,9,36,320,12714,404
2023-02-05,Shanmuga_Nadar,KAARAM,18,76,1360,12714,404
2023-02-05,Coronation_bakery,MACAROON,4,114,455,12714,404
2023-02-05,Coronation_bakery,RUSK & BREAD,17,70,1175,12714,404
2023-02-05,Coronation_bakery,SWEETS,25,17,405,12714,404
2023-02-05,Tea_Bench,TEA AND COFFEE,157,20,3025,12714,404
2023-02-06,Coronation_bakery,BISCUIT,11,50,550,17957,708
